date,site,target_tn_day,n_obs_day,std_day,mask_y,L_all,L_key,L_corr,L0,L_aux_1,L_aux_2,primary_prior_column,gate,Hu,Hd,delta_h,Qg,Qg_sgn,Qg_abs,flow_mean,flow_min,flow_max,flow_signed_evidence,level_range,flow_range,connect,log_qg_abs,hydraulic_gradient_abs,mix,res,mem,exchange_strength,direction,connect_rank_trainfit,exchange_rank_trainfit,state_label,precip,temp_mean,wind_speed,solar_radiation,api3,api7,api15,month,doy,month_sin,month_cos,doy_sin,doy_cos,archive_xtk_up_level,archive_xtk_flow,archive_xtk_level_diff1,archive_xtk_flow_diff1,archive_xtk_flow_roll3,archive_xtk_flow_roll7,archive_hydro_available,target_site,mechanistic_window,storm_window_3d,state_score_s1,state_prob_s1,state_score_s2,state_prob_s2,state_score_s3,state_prob_s3,state_score_s4,state_prob_s4,z_delta_h,z_qg_sgn,z_qg_abs,z_connect,z_mix,z_res,z_mem,tn_history_feature,warm_retention_proxy,wind_resuspension_proxy,bio_season_proxy,split,tn_history,L_eff,recon_scale,connectivity_correction,tv_weight,lag_weight_0,lag_weight_1,lag_weight_2,lag_weight_3,lag_weight_4,lag_weight_5,lag_weight_6,lag_weight_7,reconstruction_mode
2023-01-01,排水闸,1.8333333333333333,6,0.06046119049072349,1,383.64197090382646,48.9618406540761,0.11058859785529541,0.11058859785529541,383.64197090382646,48.9618406540761,L_corr,新滩口闸,18.7532,16.15875,2.5944499999999984,85.2,85.2,85.2,18.884,0.0,85.2,0.0,3.3000000000000007,85.2,0.9776769604415668,4.456670177669648,0.14862818326514643,0.9850843398054446,0.011723329425556858,85.2,111.1445,outflow,0.6122448979591837,0.7218045112781954,S1,0.49229999394810875,7.482916666666667,1.2137499948342643,3.1761,0.49229999394810875,0.49229999394810875,0.49229999394810875,1.0,1.0,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,18.85,29.5,0.08999999999999986,-42.2,65.39999999999993,67.31428571428572,1,排水闸,True,1,-0.8838116024794573,0.21633802095292107,-1.2259299475076428,0.15365713915971063,0.0,0.5235610795088737,-1.5930369246770102,0.10644376037849468,2.5944499999999984,85.2,85.2,0.9776769604415668,0.9850843398054446,0.011723329425556858,85.2,1.9349999999999998,0.08772469714732317,1.1956461123501732,0.05467134048654654,train,1.9349999999999998,0.05505331,1.1440129,1.0673469,0.3,0.40267062,0.20147096,0.10942103,0.0681779,0.05169434,0.048401263,0.053359542,0.06480431,rule_constrained
2023-01-02,排水闸,1.8066666666666666,6,0.03815174380753202,1,360.37913224990643,46.4204629785452,0.10220309795527065,0.10220309795527065,360.37913224990643,46.4204629785452,L_corr,新滩口闸,19.614166666666666,15.948749999999999,3.665416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030000000000001,0.0,0.9494218393297977,0.0,0.20613699910419803,0.9287803928828281,0.023419203747072598,33.56363636363637,36.65416666666667,neutral,0.47690655209452204,0.36305048335123524,S1,0.041400001123292895,7.636666666666667,1.568854163090388,4.8843000000000005,0.5336999950714016,0.5336999950714016,0.5336999950714016,1.0,2.0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,19.62,0.0,0.7699999999999996,-29.5,33.73333333333328,60.57142857142857,1,排水闸,True,1,0.0,0.3909734015067105,-0.5630287407098824,0.22265217270873905,-0.3264462516876723,0.28208072226595954,-1.3214285395992031,0.10429370351859077,3.665416666666667,0.0,0.0,0.9494218393297977,0.9287803928828281,0.023419203747072598,33.56363636363637,1.8333333333333333,0.1788446526151444,1.457120985970951,0.16812547764897703,train,1.8333333333333333,0.052211415,0.97214144,0.98614395,0.3,0.29941687,0.16703686,0.10502024,0.07831195,0.07091417,0.07573581,0.09005544,0.113508634,rule_constrained
2023-01-03,排水闸,1.8616666666666666,6,0.01343709624716416,1,334.2053862646106,44.5940503050326,0.09146945091993133,0.09146945091993133,334.2053862646106,44.5940503050326,L_corr,新滩口闸,20.324166666666667,15.928333333333333,4.395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.0,0.9711582843269272,0.0,0.24251199728688155,0.9624490569990477,0.03508771929824561,17.368878166465628,43.95833333333334,neutral,0.5037593984962406,0.40064446831364126,S1,0.0,7.01875,1.8617708484331768,7.6482,0.5336999950714016,0.5336999950714016,0.5336999950714016,1.0,3.0,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,20.34,0.0,0.7199999999999989,0.0,9.833333333333277,52.31428571428571,1,排水闸,True,1,0.0,0.3689159569851938,-0.45817681825106105,0.23331559941988853,-0.22981815627366653,0.2931694304992565,-1.2604347426974354,0.10459901309566126,4.395833333333334,0.0,0.0,0.9711582843269272,0.9624490569990477,0.03508771929824561,17.368878166465628,1.8066666666666666,0.2462719298245614,1.791859597422828,0.39479753885688945,train,1.8066666666666666,0.06144135,0.99404246,1.0022557,0.3,0.30924752,0.17132875,0.10636294,0.07786642,0.069148034,0.072752036,0.08573423,0.10756007,rule_constrained
2023-01-04,排水闸,1.8533333333333335,6,0.023570226039551546,1,313.44823442856483,41.5802684867826,0.08524495994491807,0.08524495994491807,313.44823442856483,41.5802684867826,L_corr,新滩口闸,20.564,16.435416666666665,4.128583333333335,406.0,406.0,406.0,94.16,0.0,406.0,0.0,5.35,406.0,0.9999890577335228,6.008813185442595,0.22317017305208842,0.9999997501931817,0.007383706620723603,182.94639186238481,447.28583333333336,outflow,0.9935553168635876,0.9763694951664876,S3,0.0,6.694583333333333,1.147708346446355,5.630400000000001,0.041400001123292895,0.5336999950714016,0.5336999950714016,1.0,4.0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,20.64,84.6,0.3000000000000007,84.6,28.199999999999942,53.95714285714286,1,排水闸,True,1,-1.8510924841758705,0.11537266612043048,-2.5519284666144624,0.05724449505335902,0.0,0.7345513819365557,-2.068474390695181,0.09283145688965497,4.128583333333335,406.0,406.0,0.9999890577335228,0.9999997501931817,0.007383706620723603,182.94639186238481,1.8616666666666666,0.04943083928131922,1.1477080597409848,0.3873851838677818,train,1.8616666666666666,0.11946361,1.481641,1.2961332,0.15,0.475015,0.22177728,0.108969174,0.059043065,0.037927117,0.030673683,0.030824995,0.03576966,rule_constrained
2023-01-05,排水闸,1.8233333333333333,6,0.03543381937578214,1,309.0672949552138,40.7238971122826,0.08147230336014595,0.08147230336014595,309.0672949552138,40.7238971122826,L_corr,新滩口闸,18.710384615384616,16.925416666666667,1.7849679487179486,224.0,224.0,224.0,117.5,0.0,224.0,0.0,3.7600000000000016,224.0,0.9972896794287559,5.41610040220442,0.10017834785932747,0.999516067908839,0.00475963826749167,199.20118287259865,241.8496794871795,outflow,0.8302900107411385,0.8668098818474759,S2,0.0,8.143333333333333,1.3725000023841858,4.1688,0.0,0.5336999950714016,0.5336999950714016,1.0,5.0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,18.84,118.0,-1.8000000000000007,33.400000000000006,67.53333333333327,56.971428571428575,1,排水闸,True,0,-1.2893185351386356,0.16830976615114907,-1.753789537724899,0.10577721374065042,0.0,0.6110169272015669,-1.6710964828993853,0.11489609290663377,1.7849679487179486,224.0,224.0,0.9972896794287559,0.999516067908839,0.00475963826749167,199.20118287259865,1.8533333333333335,0.038759320958273835,1.3718358055879134,0.35837005297666685,train,1.8533333333333335,0.101459734,1.316534,1.198174,1.0,0.4340973,0.21090274,0.10983344,0.06459745,0.045811065,0.040483065,0.043015994,0.051258966,rule_constrained
2023-01-06,排水闸,1.8733333333333333,6,0.050221730577731154,1,275.5408858822398,36.5885094050326,0.07099864847706,0.07099864847706,275.5408858822398,36.5885094050326,L_corr,新滩口闸,18.7716,17.6975,1.0740999999999978,320.0,320.0,320.0,242.6,106.0,320.0,0.0,2.289999999999999,214.0,0.9992968802695249,5.771441123130016,0.058904658524358396,0.99994848144784,0.0031568978217405026,244.92955171540433,330.741,outflow,0.9194414607948442,0.9323308270676691,S3,0.0,10.030833333333334,2.648229161898295,12.1698,0.0,0.5336999950714016,0.5336999950714016,1.0,6.0,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,18.84,240.0,0.0,122.0,147.53333333333327,77.68571428571428,1,排水闸,True,0,-1.6771378147343614,0.12762182186713414,-2.135719292473888,0.08067993410308699,0.0,0.6828049147235988,-1.8358404159512747,0.10889332930618009,1.0740999999999978,320.0,320.0,0.9992968802695249,0.99994848144784,0.0031568978217405026,244.92955171540433,1.8233333333333333,0.03166631590024203,2.648092728966086,1.2547270375957926,train,1.8233333333333333,0.10449854,1.4072902,1.2516649,0.6,0.4610923,0.21905373,0.110184215,0.061477706,0.04070594,0.03365137,0.034142695,0.039692055,rule_constrained
2023-01-07,排水闸,1.8266666666666669,6,0.022110831935702683,1,250.2726743359373,32.4555485323326,0.06631055965442953,0.06631055965442953,250.2726743359373,32.4555485323326,L_corr,新滩口闸,19.014,18.355,0.6589999999999989,332.0,332.0,332.0,328.32,320.0,332.0,0.0,0.75,12.0,0.9992291148689115,5.808142489980444,0.0352698742128569,0.9999477765500664,0.0034234851078397805,276.97515722607665,338.59,outflow,0.9151450053705693,0.9398496240601504,S3,0.0,12.697916666666666,3.23583330710729,13.2759,0.0,0.5336999950714016,0.5336999950714016,1.0,7.0,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,19.04,327.0,0.1999999999999993,87.0,228.33333333333326,114.15714285714286,1,排水闸,True,0,-1.649082948160845,0.13098581990925093,-2.1488800295733026,0.0794630386542512,0.0,0.6814153421040439,-1.8407841820517632,0.10813579933245401,0.6589999999999989,332.0,332.0,0.9992291148689115,0.9999477765500664,0.0034234851078397805,276.97515722607665,1.8733333333333333,0.043471128608923874,3.2356643207285827,1.5958699832793166,train,1.8733333333333333,0.09987636,1.4035641,1.249087,0.6,0.45968345,0.21840909,0.109962255,0.06152268,0.040954262,0.034089476,0.034788877,0.040589876,rule_constrained
2023-01-08,排水闸,1.8499999999999999,6,0.05477225575051657,1,220.1750249726937,29.039482052232596,0.06220542742463218,0.06220542742463218,220.1750249726937,29.039482052232596,L_corr,新滩口闸,19.355999999999998,17.849166666666665,1.5068333333333328,480.0,480.0,480.0,228.53333333333333,0.0,480.0,0.0,5.969999999999999,480.0,0.9999797121212214,6.175867270105761,0.08100129026875529,0.9999997127758636,0.0026494745208866907,350.3726244169169,495.0683333333333,outflow,0.9871106337271751,0.9860365198711063,S3,0.0,13.635416666666666,1.692187488079071,12.835799999999999,0.0,0.041400001123292895,0.5336999950714016,1.0,8.0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,19.9,258.0,0.8599999999999994,-69.0,274.99999999999994,146.79999999999998,1,排水闸,True,0,-1.8796612343059733,0.11023576810856503,-2.4173775267982593,0.06438657354521735,0.0,0.722185949018119,-1.9456941389974503,0.10319170932809862,1.5068333333333328,480.0,480.0,0.9999797121212214,0.9999997127758636,0.0026494745208866907,350.3726244169169,1.8266666666666669,0.036126689040007064,1.6921870020419811,1.762082863091444,train,1.8266666666666669,0.101325266,1.4708748,1.2922664,0.6,0.47424567,0.22260208,0.10995942,0.05972642,0.038180586,0.03047946,0.030175392,0.03463096,rule_constrained
2023-01-09,排水闸,1.7783333333333333,6,0.0425897744639355,1,195.725935781083,26.938594739682603,0.06186618191089524,0.06186618191089524,195.725935781083,26.938594739682603,L_corr,新滩口闸,19.238400000000002,17.92125,1.3171500000000016,303.0,303.0,303.0,255.56,240.0,303.0,0.0,1.8000000000000007,63.0,0.9991868000443779,5.717027701406222,0.07089140662565954,0.9999310633291352,0.00268985923070026,333.4415305301634,316.17150000000004,outflow,0.9097744360902256,0.920515574650913,S3,0.0,11.560416666666667,3.142395834128062,11.2194,0.0,0.0,0.5336999950714016,1.0,9.0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,19.29,256.0,-0.6099999999999994,-2.0,280.33333333333326,183.37142857142857,1,排水闸,True,0,-1.6198758775595508,0.13330046937030451,-2.0848825906915778,0.08373014225635841,0.0,0.6734957098490855,-1.816797484308599,0.10947367852425154,1.3171500000000016,303.0,303.0,0.9991868000443779,0.9999310633291352,0.00268985923070026,333.4415305301634,1.8499999999999999,0.031095893481574464,3.1421792078207176,1.7312523825608361,train,1.8499999999999999,0.09276846,1.3966272,1.2458646,0.6,0.45745677,0.21792148,0.11010469,0.061878987,0.04139037,0.03458421,0.03536676,0.04129672,rule_constrained
2023-01-10,排水闸,1.7433333333333334,6,0.03590109871423006,1,185.83666816210078,24.980527338882602,0.06012962063292678,0.06012962063292678,185.83666816210078,24.980527338882602,L_corr,新滩口闸,19.5728,18.232499999999998,1.3403000000000027,390.0,390.0,390.0,344.64,283.0,390.0,0.0,1.6600000000000001,107.0,0.9998597915365618,5.968707559985366,0.07090539840152593,0.9999950351392236,0.0025568908207619532,353.50713289935806,403.403,outflow,0.9634801288936627,0.9645542427497314,S3,0.0,8.45,1.8958333333333333,8.7939,0.0,0.0,0.5336999950714016,1.0,10.0,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,19.63,305.0,0.33999999999999986,49.0,272.99999999999994,226.94285714285712,1,排水闸,True,0,-1.7918109879180177,0.11771073599851468,-2.3067832935031234,0.07033418258912455,0.0,0.7063008027458583,-1.8998689712232595,0.10565427866650257,1.3403000000000027,390.0,390.0,0.9998597915365618,0.9999950351392236,0.0025568908207619532,353.50713289935806,1.7783333333333333,0.021605727435438503,1.895823920784778,1.5063347806174958,train,1.7783333333333333,0.09195182,1.4474411,1.2780881,0.6,0.46876284,0.22107944,0.11001375,0.060434576,0.039230887,0.031818107,0.031864338,0.036796104,rule_constrained
