scenario,n,no_swat_rmse,response_calibrated_swat_rmse,rmse_reduction_pct,mean_abs_error_reduction,better_days
Overall,50,0.2061143830462554,0.1358021646625748,34.11320323429413,0.05448677272715404,30
Rainfall window,34,0.22298379669206572,0.14058018274875683,36.95497841805337,0.05958808186879432,21
Non-rainfall,16,0.16462393563851754,0.12504414514860898,24.042549059705486,0.04364649080116846,9
S1 low exchange,13,0.2395037019143331,0.14448004212178064,39.67523634625948,0.08939285803635474,10
S2 normal exchange,32,0.19272757583825847,0.1272173723764511,33.991089846315035,0.04683730947654464,18
S3 high exchange,5,0.19485648631569108,0.1630011093352487,16.348122447837234,0.012687515727132403,2
